Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,PLR_ID,PLR_NAME,BEZ,STAND,GROESSE_M2,latitude,longitude
,,,,,,-1,0,-1,,,11501341,Karlshorst Süd,11,01.01.2021,2294021.723,47.28495,8.56954
,,,,,,-1,0,-1,,,07601340,Tirschenreuther Ring Ost,07,01.01.2021,413969.326,51.21551,2.927
,,,,,,-1,0,-1,,,02500831,Wismarplatz,02,01.01.2021,248988.291,52.511024,13.4631234
,,,,,,-1,0,-1,,,12601134,Märkisches Zentrum,12,01.01.2021,1127855.841,52.5975125,13.3545222
,,,,,,-1,0,-1,,,07601547,Horstwalder Straße,07,01.01.2021,941433.954,52.3828929,13.4132111
,,,,,,-1,0,-1,,,08301036,Gropiusstadt Mitte,08,01.01.2021,695018.485,52.52003,13.40489
,,,,,,-1,0,-1,,,05200421,Spandauer Straße,05,01.01.2021,720067.571,52.5179852,13.4076167
,,,,,,-1,0,-1,,,05200418,Isenburger Weg,05,01.01.2021,1284627.903,52.5424316,13.1355584
,,,,,,-1,0,-1,,,11501238,Rummelsburg,11,01.01.2021,2401515.387,52.5013696,13.4835143
,,,,,,-1,0,-1,,,07200412,Schöneberger Linse,07,01.01.2021,231294.249,50.4315,2.8331
,,,,,,-1,0,-1,,,07100103,Frobenstraße,07,01.01.2021,342043.539,52.4292149,13.3420932
,,,,,,-1,0,-1,,,03400618,Rosenthal,03,01.01.2021,1798385.975,50.9737599,8.8694202
,,,,,,-1,0,-1,,,10200526,Boulevard Kastanienallee,10,01.01.2021,526608.425,52.53076,13.6041276
,,,,,,-1,0,-1,,,07300516,Odenwaldstraße,07,01.01.2021,458716.636,50.5259589,9.7039402
,,,,,,-1,0,-1,,,10100205,Gewerbegebiet Bitterfelder Straße,10,01.01.2021,3601314.587,,
,,,,,,-1,0,-1,,,02300315,Lausitzer Platz,02,01.01.2021,350907.658,52.5001825,13.430793
,,,,,,-1,0,-1,,,07601548,Wittelsbacherstraße,07,01.01.2021,968261.882,52.4950248,13.3114265
,,,,,,-1,0,-1,,,10100314,Auersbergstraße,10,01.01.2021,470905.654,52.538301,13.5571124
,,,,,,-1,0,-1,,,07601443,Töpchiner Weg,07,01.01.2021,1986689.085,52.4103738,13.4179726
,,,,,,-1,0,-1,,,03601245,Ostseestraße,03,01.01.2021,966047.252,52.5512125,13.4305099
,,,,,,-1,0,-1,,,02500832,Traveplatz,02,01.01.2021,369567.495,52.5108664,13.4701701
,,,,,,-1,0,-1,,,10200630,Cecilienplatz,10,01.01.2021,377288.218,52.5213957,13.5907518
,,,,,,-1,0,-1,,,02100104,Moritzplatz,02,01.01.2021,380547.712,52.5036623,13.4107479
,,,,,,-1,0,-1,,,03701554,Teutoburger Platz,03,01.01.2021,548486.697,52.5320755,13.4089061
,,,,,,-1,0,-1,,,03500933,Weißer See,03,01.01.2021,1055229.992,52.5540762,13.4634261
,,,,,,-1,0,-1,,,07100204,Barbarossaplatz,07,01.01.2021,515151.482,49.6318063,8.372465
,,,,,,-1,0,-1,,,05200420,Staakener Straße,05,01.01.2021,2627506.883,52.536323,13.1894822
,,,,,,-1,0,-1,,,08100312,Weichselplatz,08,01.01.2021,515944.623,52.4878958,13.4391384
,,,,,,-1,0,-1,,,10100103,Wittenberger Straße,10,01.01.2021,686657.51,52.5651614,13.570569
,,,,,,-1,0,-1,,,03601451,Anton-Saefkow-Park,03,01.01.2021,546889.645,52.5374016,13.4401119
,,,,,,-1,0,-1,,,06400736,Düppel,06,01.01.2021,3130515.711,54.914791,9.7211826
,,,,,,-1,0,-1,,,01400937,Afrikanische Straße,01,01.01.2021,3674225.411,52.5602382,13.3346178
,,,,,,-1,0,-1,,,07601339,Tirschenreuther Ring West,07,01.01.2021,453765.631,5.5,10.66667
,,,,,,-1,0,-1,,,06300632,Schweizer Viertel,06,01.01.2021,3085882.409,51.0367797,13.7253944
,,,,,,-1,0,-1,,,07601545,Nahariyastraße,07,01.01.2021,900458.165,52.3904008,13.4201686
,,,,,,-1,0,-1,,,05100103,Mertensstraße,05,01.01.2021,719119.684,52.5641551,13.2199927
,,,,,,-1,0,-1,,,08100314,Donaustraße,08,01.01.2021,255918.243,52.4815073,13.4372884
,,,,,,-1,0,-1,,,05200526,Rudolf-Wissell-Großsiedlung,05,01.01.2021,379178.642,,
,,,,,,-1,0,-1,,,04500938,Hochmeisterplatz,04,01.01.2021,517757.943,52.4956567,13.3005764
,,,,,,-1,0,-1,,,07400826,Marienhöhe,07,01.01.2021,1169632.724,50.6094027,12.3861526
,,,,,,-1,0,-1,,,09501939,Bahnhofstraße,09,01.01.2021,1142557.213,47.3739118,8.5383283
,,,,,,-1,0,-1,,,06100208,Bergstraße,06,01.01.2021,620619.175,51.0265107,13.7315944
,,,,,,-1,0,-1,,,03200206,Pastor-Niemöller-Platz,03,01.01.2021,1104544.755,52.579673,13.3977639
,,,,,,-1,0,-1,,,03601452,Velodrom,03,01.01.2021,552164.165,-22.9751539,-43.3924047
,,,,,,-1,0,-1,,,11200513,Große-Leege-Straße,11,01.01.2021,688243.681,52.5474752,13.5007733
,,,,,,-1,0,-1,,,05100104,Maselake,05,01.01.2021,559348.325,52.5591053,13.2104529
,,,,,,-1,0,-1,,,12601235,Dannenwalder Weg,12,01.01.2021,523435.195,52.5914462,13.3471806
,,,,,,-1,0,-1,,,03400725,Schlosspark,03,01.01.2021,1259152.298,53.239838,8.2082824
,,,,,,-1,0,-1,,,04300416,Amtsgerichtsplatz,04,01.01.2021,580690.467,52.5065043,13.2954038
,,,,,,-1,0,-1,,,04501148,Brabanter Platz,04,01.01.2021,420097.518,52.4818517,13.31649
,,,,,,-1,0,-1,,,08401244,Waßmannsdorfer Chaussee,08,01.01.2021,2776814.494,52.4073286,13.4918521
,,,,,,-1,0,-1,,,09301024,Falkenberg,09,01.01.2021,1148564.176,56.904894,12.4912926
,,,,,,-1,0,-1,,,06400843,Thielallee,06,01.01.2021,2111239.52,52.4510872,13.2871334
,,,,,,-1,0,-1,,,12200412,Waldidyll/Flughafensee,12,01.01.2021,5947881.881,,
,,,,,,-1,0,-1,,,12200515,Alt-Tegel,12,01.01.2021,2392477.977,52.5894565,13.2837514
,,,,,,-1,0,-1,,,07501135,Birnhornweg,07,01.01.2021,555575.417,52.4244236,13.3955555
,,,,,,-1,0,-1,,,01100103,Lützowstraße,01,01.01.2021,522279.456,48.1546529,11.4538435
,,,,,,-1,0,-1,,,08200725,Mohriner Allee Nord,08,01.01.2021,1629928.914,50.33333,3.66667
,,,,,,-1,0,-1,,,03701658,Christburger Straße,03,01.01.2021,232827.898,52.5370905,13.4232824
,,,,,,-1,0,-1,,,05100312,Eckschanze,05,01.01.2021,332709.609,52.5517741,13.1978918
,,,,,,-1,0,-1,,,03601449,Michelangelostraße,03,01.01.2021,858322.778,52.545096,13.445085
,,,,,,-1,0,-1,,,04501151,Hildegardstraße,04,01.01.2021,323678.704,52.481815,13.3216725
,,,,,,-1,0,-1,,,11400928,Nöldnerplatz,11,01.01.2021,584236.747,52.5038434,13.4853253
,,,,,,-1,0,-1,,,12200411,Schumacher-Quartier,12,01.01.2021,670383.746,52.5553695,13.3161202
,,,,,,-1,0,-1,,,05300840,Nonnendammallee,05,01.01.2021,3274832.767,52.5366152,13.2666353
,,,,,,-1,0,-1,,,01300835,Humboldthain Süd,01,01.01.2021,1103870.067,51.4344015,6.9435156
,,,,,,-1,0,-1,,,01401044,Uferstraße,01,01.01.2021,491567.116,51.0632629,13.7356222
,,,,,,-1,0,-1,,,04300621,Richard-Wagner-Straße,04,01.01.2021,550733.771,52.516801,13.3067073
,,,,,,-1,0,-1,,,04300620,Spreestadt,04,01.01.2021,715515.505,,
